Date,Rate,Source,Daily_Return,Log_Return,SMA_Short,SMA_Long,Rolling_Volatility_Annualized,Signal,Position_Change,Strategy_Position,Strategy_Daily_Return,Trade_Executed,Strategy_Equity,BuyHold_Equity
2021-07-10,10630.75,CBU.uz (official),0.0,0.0,10591.0355,10583.4498,0.019086394489113416,1,False,1.0,0.0,False,10045.36723821507,10103.854210624359
2021-07-11,10630.75,CBU.uz (official),0.0,0.0,10594.193,10584.1098,0.01827400412270424,1,False,1.0,0.0,False,10045.36723821507,10103.854210624359
2021-07-12,10621.49,CBU.uz (official),-0.0008710580156621184,-0.000871437607142252,10595.925,10584.5846,0.017790729914119653,1,False,1.0,-0.0008710580156621184,False,10036.617140561953,10095.053167425114
2021-07-13,10637.0,CBU.uz (official),0.0014602471028075659,0.0014591819787770446,10598.707,10585.758999999998,0.018166524457836383,1,False,1.0,0.0014602471028075659,False,10051.273081663448,10109.794439565536
2021-07-14,10649.09,CBU.uz (official),0.0011365986650371251,0.0011359532257983994,10602.567500000001,10586.8056,0.017877302155169476,1,False,1.0,0.0011365986650371251,False,10062.69734522999,10121.285218429346
2021-07-15,10660.0,CBU.uz (official),0.0010245006850351235,0.0010239762423723188,10607.319500000001,10587.9748,0.017599194382209252,1,False,1.0,0.0010245006850351235,False,10073.00658555348,10131.654482069061
2021-07-16,10650.66,CBU.uz (official),-0.000876172607879977,-0.0008765566714530857,10611.6045,10588.7898,0.01816115002542131,1,False,1.0,-0.000876172607879977,False,10064.180893104221,10122.777403939366
2021-07-17,10625.97,CBU.uz (official),-0.0023181661981511725,-0.0023208573051722763,10614.655,10589.528600000001,0.020552895820802053,1,False,1.0,-0.0023181661981511725,False,10040.850449145748,10099.311123530146
2021-07-18,10625.97,CBU.uz (official),0.0,0.0,10617.1535,10590.2674,0.020376909022078067,1,False,1.0,0.0,False,10040.850449145748,10099.311123530146
2021-07-19,10611.38,CBU.uz (official),-0.0013730511190978012,-0.0013739946175322416,10618.381,10590.714399999999,0.02091751469712916,1,False,1.0,-0.0013730511190978012,False,10027.063848199856,10085.444253089865
2021-07-20,10611.38,CBU.uz (official),0.0,0.0,10618.685,10591.329,0.020013818643075,1,False,1.0,0.0,False,10027.063848199856,10085.444253089865
2021-07-21,10611.38,CBU.uz (official),0.0,0.0,10619.704,10592.1924,0.01934375903177794,1,False,1.0,0.0,False,10027.063848199856,10085.444253089865
2021-07-22,10611.38,CBU.uz (official),0.0,0.0,10620.8935,10593.223600000001,0.019284976675166286,1,False,1.0,0.0,False,10027.063848199856,10085.444253089865
2021-07-23,10598.66,CBU.uz (official),-0.001198713079731295,-0.0011994321109205512,10621.447,10594.181999999999,0.01983951377864629,1,False,1.0,-0.001198713079731295,False,10015.044275613718,10073.354699148787
2021-07-24,10615.49,CBU.uz (official),0.0015879365882101037,0.0015866771500017433,10622.842,10595.7078,0.020570501227192627,1,False,1.0,0.0015879365882101037,False,10030.947530851508,10089.350547641583
2021-07-25,10615.49,CBU.uz (official),0.0,0.0,10622.939499999999,10597.233600000001,0.018657256113574505,1,False,1.0,0.0,False,10030.947530851508,10089.350547641583
2021-07-26,10634.36,CBU.uz (official),0.0017775910485526847,0.0017760130033872869,10624.977499999999,10599.1368,0.01825837674640253,1,False,1.0,0.0017775910485526847,False,10048.778453390853,10107.28528686078
2021-07-27,10657.35,CBU.uz (official),0.0021618602341841875,0.0021595267768154,10627.717,10601.3326,0.01944204571236739,1,False,1.0,0.0021618602341841875,False,10070.502507931365,10129.135824998002
2021-07-28,10670.0,CBU.uz (official),0.001186974247819439,0.0011862703508369456,10629.965,10604.0902,0.018516939098547302,1,False,1.0,0.001186974247819439,False,10082.45593507088,10141.158848374938
2021-07-29,10648.03,CBU.uz (official),-0.002059044048734693,-0.002061166794316981,10630.829000000002,10605.951599999999,0.02013441176104523,1,False,1.0,-0.002059044048734693,False,10061.695714181142,10120.277755600919
